parcode,trial,fix_item,fix_time
mar,218,3,470.000000
mar,218,0,46.000000
mar,218,1,398.000000
mar,218,0,662.000000
mar,219,3,694.000000
mar,219,0,694.000000
mar,219,2,252.000000
mar,220,3,490.000000
mar,220,0,370.000000
mar,220,2,110.000000
mar,220,0,324.000000
mar,221,3,694.000000
mar,221,0,52.000000
mar,221,1,158.000000
mar,221,0,890.000000
mar,222,3,654.000000
mar,222,0,54.000000
mar,222,1,300.000000
mar,222,0,78.000000
mar,222,2,156.000000
mar,222,0,192.000000
mar,223,3,654.000000
mar,223,0,52.000000
mar,223,1,270.000000
mar,223,0,82.000000
mar,223,2,186.000000
mar,223,0,414.000000
mar,224,3,654.000000
mar,224,0,52.000000
mar,224,1,292.000000
mar,224,0,90.000000
mar,224,2,382.000000
mar,224,0,124.000000
mar,225,3,502.000000
mar,225,0,54.000000
mar,225,1,272.000000
mar,225,0,562.000000
mar,226,3,704.000000
mar,226,0,340.000000
mar,226,2,162.000000
mar,226,0,534.000000
mar,227,3,488.000000
mar,227,0,54.000000
mar,227,1,1956.000000
mar,228,3,634.000000
mar,228,0,372.000000
mar,228,2,190.000000
mar,228,0,638.000000
mar,229,3,642.000000
mar,229,0,48.000000
mar,229,1,268.000000
mar,229,0,76.000000
mar,229,2,160.000000
mar,229,0,526.000000
mar,229,1,224.000000
mar,229,0,68.000000
mar,230,3,668.000000
mar,230,0,340.000000
mar,230,2,288.000000
mar,230,0,362.000000
mar,231,3,640.000000
mar,231,0,52.000000
mar,231,1,226.000000
mar,231,0,72.000000
mar,231,2,142.000000
mar,231,0,404.000000
mar,231,1,186.000000
mar,232,3,684.000000
mar,232,0,378.000000
mar,232,2,120.000000
mar,232,0,126.000000
mar,233,3,676.000000
mar,233,0,50.000000
mar,233,1,258.000000
mar,233,0,78.000000
mar,233,2,138.000000
mar,233,0,460.000000
mar,234,3,684.000000
mar,234,0,52.000000
mar,234,1,294.000000
mar,234,0,74.000000
mar,234,2,134.000000
mar,234,0,252.000000
mar,235,3,662.000000
mar,235,0,364.000000
mar,235,2,176.000000
mar,235,0,318.000000
mar,236,3,516.000000
mar,236,0,370.000000
mar,236,2,136.000000
mar,236,0,624.000000
mar,237,3,712.000000
mar,237,0,48.000000
mar,237,1,302.000000
mar,237,0,74.000000
mar,237,2,502.000000
mar,237,0,80.000000
mar,237,1,802.000000
mar,237,0,158.000000
mar,237,2,242.000000
mar,237,0,72.000000
mar,238,3,660.000000
mar,238,0,48.000000
mar,238,1,220.000000
mar,238,0,70.000000
mar,238,2,286.000000
mar,238,0,366.000000
mar,239,3,656.000000
mar,239,0,48.000000
mar,239,1,862.000000
mar,240,3,740.000000
mar,240,0,270.000000
mar,240,1,212.000000
mar,240,0,330.000000
mar,241,3,714.000000
mar,241,0,50.000000
mar,241,1,250.000000
mar,241,0,950.000000
mar,242,3,528.000000
mar,242,0,46.000000
mar,242,1,252.000000
